address_type,address,last_active,active_chains,tx_count_7d,tx_count_30d
evm,0xac249d4fad1198eb9b124d4aebaee40f7a003bf1,manual_test,ethereum|bnb|base,0,0
evm,0xc81f7b9bbd22a92a1e8c6512ff18e7606c0d097d,2026-04-15 08:10:47.000 UTC,base|bnb|ethereum,19,93
evm,0x6075b5cfbd641818a9865cf9edb901f336258161,2026-04-15 08:02:52.000 UTC,base|bnb|ethereum,4,42
evm,0x38474fab5fbcc6338ae741f4aedd6a9f568859ee,2026-04-15 08:00:59.000 UTC,base|bnb|ethereum,14,65
evm,0x28d3bdece9a0c7f54687f734fa73fba04ecf5785,2026-04-15 07:32:47.000 UTC,base|bnb|ethereum,7,90
sol,93NyvGRa4SG5p6XDWTpx9JHGU7j8ubw9QUzYLojhv7tJ,2026-04-15 07:29:25.000 UTC,solana,22,30
evm,0xd923de646d3f0bb9eb7f9169f259c79c3ede2188,2026-04-15 07:23:13.000 UTC,base|bnb|ethereum,36,135
evm,0x88ca682c8dd3f6ee798d1dfac3ac90799a54381c,2026-04-15 06:58:38.000 UTC,base|bnb|ethereum,97,221
evm,0x1439b4d5a72343b68f12398c649df99d76b2af53,2026-04-15 05:55:11.000 UTC,ethereum,30,41
evm,0xde9b4206b1499e56e4417f8edb7be4586fed30ba,2026-04-15 05:54:35.000 UTC,base|ethereum,16,50
sol,HE8wn4bmw76gbcT4RL1X7n2Pqqugwd1bPynkNbQruHQJ,2026-04-15 05:40:44.000 UTC,solana,32,59
evm,0x459e213d8b5e79d706ab22b945e3af983d51bc4c,2026-04-15 05:25:53.000 UTC,base|bnb|ethereum,5,27
sol,9WFtKmQ3YGMjbbdEvRY7mWKLk6d62hgFUMPyigvNRRno,2026-04-15 05:23:57.000 UTC,solana,37,80
evm,0x2487e611ff876c101dd2b31758102953f4760af5,2026-04-15 05:13:23.000 UTC,base|ethereum,14,176
evm,0x8c826f795466e39acbff1bb4eeeb759609377ba1,2026-04-15 05:03:11.000 UTC,base|bnb|ethereum,708,1065
evm,0xc0670aa54ee845f4031e3fa1ad7656d70d4976bc,2026-04-15 04:33:36.000 UTC,base|bnb|ethereum,10,43
evm,0xd869fbdabb2f86d413b424907c83a4d1d6ee8d64,2026-04-15 04:28:59.000 UTC,base|bnb|ethereum,532,537
evm,0x0e7e8ec2ceda7f903a9bc69ee914cbcc08b1f344,2026-04-15 04:07:49.000 UTC,bnb,27,195
evm,0xdbd47f66aa2f00b3db03397f260ce9728298c495,2026-04-15 03:21:11.000 UTC,base|ethereum,20,149
evm,0x359fc4e06c2fcc902e6f1dbeceb86e07660940d2,2026-04-15 02:58:47.000 UTC,ethereum,6,14
evm,0x0258da40e011acb8e0f6308d6dda4de363c9b604,2026-04-15 01:39:59.000 UTC,ethereum,67,131
evm,0xff9f20367488f3386a97bc3897798b0e8bd1b2da,2026-04-15 01:25:12.000 UTC,base|bnb|ethereum,21,109
evm,0x8c42a956f99a621277cb36ea6facb4b9586ef842,2026-04-15 00:23:03.000 UTC,bnb|ethereum,10,20
evm,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,2026-04-14 23:27:23.000 UTC,base|ethereum,73,82
evm,0x8f2df56bcecb03e9118a8c78b454e7ecf1592872,2026-04-14 22:37:37.000 UTC,base|bnb|ethereum,28,46
evm,0xbd008db3d8704ce124fcd13e448e950b409e07e1,2026-04-14 22:35:23.000 UTC,base|bnb|ethereum,14,80
